R3E SHARED MEMORY MAP
Generated from r3e_header.h
================================================================================
OFFSET: 0x01D8 (00472) | TYPE: r3e_float64     | SIZE: 8 | player.camber[2]
OFFSET: 0x01E0 (00480) | TYPE: r3e_float64     | SIZE: 8 | player.camber[3]
OFFSET: 0x01E8 (00488) | TYPE: r3e_float64     | SIZE: 8 | player.ride_height[0]
OFFSET: 0x01F0 (00496) | TYPE: r3e_float64     | SIZE: 8 | player.ride_height[1]
OFFSET: 0x01F8 (00504) | TYPE: r3e_float64     | SIZE: 8 | player.ride_height[2]
OFFSET: 0x0200 (00512) | TYPE: r3e_float64     | SIZE: 8 | player.ride_height[3]
OFFSET: 0x0208 (00520) | TYPE: r3e_float64     | SIZE: 8 | player.front_wing_height
OFFSET: 0x0210 (00528) | TYPE: r3e_float64     | SIZE: 8 | player.front_roll_angle
OFFSET: 0x0218 (00536) | TYPE: r3e_float64     | SIZE: 8 | player.rear_roll_angle
OFFSET: 0x0220 (00544) | TYPE: r3e_float64     | SIZE: 8 | player.third_spring_suspension_deflection_front
OFFSET: 0x0228 (00552) | TYPE: r3e_float64     | SIZE: 8 | player.third_spring_suspension_velocity_front
OFFSET: 0x0230 (00560) | TYPE: r3e_float64     | SIZE: 8 | player.third_spring_suspension_deflection_rear
OFFSET: 0x0238 (00568) | TYPE: r3e_float64     | SIZE: 8 | player.third_spring_suspension_velocity_rear
OFFSET: 0x0240 (00576) | TYPE: r3e_float64     | SIZE: 8 | player.unused1
OFFSET: 0x0248 (00584) | TYPE: r3e_float64     | SIZE: 8 | player.unused2
OFFSET: 0x0250 (00592) | TYPE: r3e_float64     | SIZE: 8 | player.unused3
OFFSET: 0x0258 (00600) | TYPE: r3e_u8char      | SIZE: 1 | track_name[0]
OFFSET: 0x0259 (00601) | TYPE: r3e_u8char      | SIZE: 1 | track_name[1]
OFFSET: 0x025A (00602) | TYPE: r3e_u8char      | SIZE: 1 | track_name[2]
OFFSET: 0x025B (00603) | TYPE: r3e_u8char      | SIZE: 1 | track_name[3]
OFFSET: 0x025C (00604) | TYPE: r3e_u8char      | SIZE: 1 | track_name[4]
OFFSET: 0x025D (00605) | TYPE: r3e_u8char      | SIZE: 1 | track_name[5]
OFFSET: 0x025E (00606) | TYPE: r3e_u8char      | SIZE: 1 | track_name[6]
OFFSET: 0x025F (00607) | TYPE: r3e_u8char      | SIZE: 1 | track_name[7]
OFFSET: 0x0260 (00608) | TYPE: r3e_u8char      | SIZE: 1 | track_name[8]
OFFSET: 0x0261 (00609) | TYPE: r3e_u8char      | SIZE: 1 | track_name[9]
OFFSET: 0x0262 (00610) | TYPE: r3e_u8char      | SIZE: 1 | track_name[10]
OFFSET: 0x0263 (00611) | TYPE: r3e_u8char      | SIZE: 1 | track_name[11]
OFFSET: 0x0264 (00612) | TYPE: r3e_u8char      | SIZE: 1 | track_name[12]
OFFSET: 0x0265 (00613) | TYPE: r3e_u8char      | SIZE: 1 | track_name[13]
OFFSET: 0x0266 (00614) | TYPE: r3e_u8char      | SIZE: 1 | track_name[14]
OFFSET: 0x0267 (00615) | TYPE: r3e_u8char      | SIZE: 1 | track_name[15]
OFFSET: 0x0268 (00616) | TYPE: r3e_u8char      | SIZE: 1 | track_name[16]
OFFSET: 0x0269 (00617) | TYPE: r3e_u8char      | SIZE: 1 | track_name[17]
OFFSET: 0x026A (00618) | TYPE: r3e_u8char      | SIZE: 1 | track_name[18]
OFFSET: 0x026B (00619) | TYPE: r3e_u8char      | SIZE: 1 | track_name[19]
OFFSET: 0x026C (00620) | TYPE: r3e_u8char      | SIZE: 1 | track_name[20]
OFFSET: 0x026D (00621) | TYPE: r3e_u8char      | SIZE: 1 | track_name[21]
OFFSET: 0x026E (00622) | TYPE: r3e_u8char      | SIZE: 1 | track_name[22]
OFFSET: 0x026F (00623) | TYPE: r3e_u8char      | SIZE: 1 | track_name[23]
OFFSET: 0x0270 (00624) | TYPE: r3e_u8char      | SIZE: 1 | track_name[24]
OFFSET: 0x0271 (00625) | TYPE: r3e_u8char      | SIZE: 1 | track_name[25]
OFFSET: 0x0272 (00626) | TYPE: r3e_u8char      | SIZE: 1 | track_name[26]
OFFSET: 0x0273 (00627) | TYPE: r3e_u8char      | SIZE: 1 | track_name[27]
OFFSET: 0x0274 (00628) | TYPE: r3e_u8char      | SIZE: 1 | track_name[28]
OFFSET: 0x0275 (00629) | TYPE: r3e_u8char      | SIZE: 1 | track_name[29]
OFFSET: 0x0276 (00630) | TYPE: r3e_u8char      | SIZE: 1 | track_name[30]
OFFSET: 0x0277 (00631) | TYPE: r3e_u8char      | SIZE: 1 | track_name[31]
OFFSET: 0x0278 (00632) | TYPE: r3e_u8char      | SIZE: 1 | track_name[32]
OFFSET: 0x0279 (00633) | TYPE: r3e_u8char      | SIZE: 1 | track_name[33]
OFFSET: 0x027A (00634) | TYPE: r3e_u8char      | SIZE: 1 | track_name[34]
OFFSET: 0x027B (00635) | TYPE: r3e_u8char      | SIZE: 1 | track_name[35]
OFFSET: 0x027C (00636) | TYPE: r3e_u8char      | SIZE: 1 | track_name[36]
OFFSET: 0x027D (00637) | TYPE: r3e_u8char      | SIZE: 1 | track_name[37]
OFFSET: 0x027E (00638) | TYPE: r3e_u8char      | SIZE: 1 | track_name[38]
OFFSET: 0x027F (00639) | TYPE: r3e_u8char      | SIZE: 1 | track_name[39]
OFFSET: 0x0280 (00640) | TYPE: r3e_u8char      | SIZE: 1 | track_name[40]
OFFSET: 0x0281 (00641) | TYPE: r3e_u8char      | SIZE: 1 | track_name[41]
OFFSET: 0x0282 (00642) | TYPE: r3e_u8char      | SIZE: 1 | track_name[42]
OFFSET: 0x0283 (00643) | TYPE: r3e_u8char      | SIZE: 1 | track_name[43]
OFFSET: 0x0284 (00644) | TYPE: r3e_u8char      | SIZE: 1 | track_name[44]
OFFSET: 0x0285 (00645) | TYPE: r3e_u8char      | SIZE: 1 | track_name[45]
OFFSET: 0x0286 (00646) | TYPE: r3e_u8char      | SIZE: 1 | track_name[46]
OFFSET: 0x0287 (00647) | TYPE: r3e_u8char      | SIZE: 1 | track_name[47]
OFFSET: 0x0288 (00648) | TYPE: r3e_u8char      | SIZE: 1 | track_name[48]
OFFSET: 0x0289 (00649) | TYPE: r3e_u8char      | SIZE: 1 | track_name[49]
OFFSET: 0x028A (00650) | TYPE: r3e_u8char      | SIZE: 1 | track_name[50]
OFFSET: 0x028B (00651) | TYPE: r3e_u8char      | SIZE: 1 | track_name[51]
OFFSET: 0x028C (00652) | TYPE: r3e_u8char      | SIZE: 1 | track_name[52]
OFFSET: 0x028D (00653) | TYPE: r3e_u8char      | SIZE: 1 | track_name[53]
OFFSET: 0x028E (00654) | TYPE: r3e_u8char      | SIZE: 1 | track_name[54]
OFFSET: 0x028F (00655) | TYPE: r3e_u8char      | SIZE: 1 | track_name[55]
OFFSET: 0x0290 (00656) | TYPE: r3e_u8char      | SIZE: 1 | track_name[56]
OFFSET: 0x0291 (00657) | TYPE: r3e_u8char      | SIZE: 1 | track_name[57]
OFFSET: 0x0292 (00658) | TYPE: r3e_u8char      | SIZE: 1 | track_name[58]
OFFSET: 0x0293 (00659) | TYPE: r3e_u8char      | SIZE: 1 | track_name[59]
OFFSET: 0x0294 (00660) | TYPE: r3e_u8char      | SIZE: 1 | track_name[60]
OFFSET: 0x0295 (00661) | TYPE: r3e_u8char      | SIZE: 1 | track_name[61]
OFFSET: 0x0296 (00662) | TYPE: r3e_u8char      | SIZE: 1 | track_name[62]
OFFSET: 0x0297 (00663) | TYPE: r3e_u8char      | SIZE: 1 | track_name[63]
OFFSET: 0x0298 (00664) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[0]
OFFSET: 0x0299 (00665) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[1]
OFFSET: 0x029A (00666) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[2]
OFFSET: 0x029B (00667) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[3]
OFFSET: 0x029C (00668) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[4]
OFFSET: 0x029D (00669) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[5]
OFFSET: 0x029E (00670) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[6]
OFFSET: 0x029F (00671) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[7]
OFFSET: 0x02A0 (00672) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[8]
OFFSET: 0x02A1 (00673) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[9]
OFFSET: 0x02A2 (00674) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[10]
OFFSET: 0x02A3 (00675) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[11]
OFFSET: 0x02A4 (00676) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[12]
OFFSET: 0x02A5 (00677) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[13]
OFFSET: 0x02A6 (00678) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[14]
OFFSET: 0x02A7 (00679) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[15]
OFFSET: 0x02A8 (00680) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[16]
OFFSET: 0x02A9 (00681) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[17]
OFFSET: 0x02AA (00682) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[18]
OFFSET: 0x02AB (00683) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[19]
OFFSET: 0x02AC (00684) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[20]
OFFSET: 0x02AD (00685) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[21]
OFFSET: 0x02AE (00686) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[22]
OFFSET: 0x02AF (00687) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[23]
OFFSET: 0x02B0 (00688) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[24]
OFFSET: 0x02B1 (00689) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[25]
OFFSET: 0x02B2 (00690) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[26]
OFFSET: 0x02B3 (00691) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[27]
OFFSET: 0x02B4 (00692) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[28]
OFFSET: 0x02B5 (00693) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[29]
OFFSET: 0x02B6 (00694) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[30]
OFFSET: 0x02B7 (00695) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[31]
OFFSET: 0x02B8 (00696) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[32]
OFFSET: 0x02B9 (00697) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[33]
OFFSET: 0x02BA (00698) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[34]
OFFSET: 0x02BB (00699) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[35]
OFFSET: 0x02BC (00700) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[36]
OFFSET: 0x02BD (00701) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[37]
OFFSET: 0x02BE (00702) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[38]
OFFSET: 0x02BF (00703) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[39]
OFFSET: 0x02C0 (00704) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[40]
OFFSET: 0x02C1 (00705) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[41]
OFFSET: 0x02C2 (00706) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[42]
OFFSET: 0x02C3 (00707) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[43]
OFFSET: 0x02C4 (00708) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[44]
OFFSET: 0x02C5 (00709) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[45]
OFFSET: 0x02C6 (00710) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[46]
OFFSET: 0x02C7 (00711) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[47]
OFFSET: 0x02C8 (00712) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[48]
OFFSET: 0x02C9 (00713) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[49]
OFFSET: 0x02CA (00714) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[50]
OFFSET: 0x02CB (00715) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[51]
OFFSET: 0x02CC (00716) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[52]
OFFSET: 0x02CD (00717) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[53]
OFFSET: 0x02CE (00718) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[54]
OFFSET: 0x02CF (00719) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[55]
OFFSET: 0x02D0 (00720) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[56]
OFFSET: 0x02D1 (00721) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[57]
OFFSET: 0x02D2 (00722) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[58]
OFFSET: 0x02D3 (00723) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[59]
OFFSET: 0x02D4 (00724) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[60]
OFFSET: 0x02D5 (00725) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[61]
OFFSET: 0x02D6 (00726) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[62]
OFFSET: 0x02D7 (00727) | TYPE: r3e_u8char      | SIZE: 1 | layout_name[63]
OFFSET: 0x02D8 (00728) | TYPE: r3e_int32       | SIZE: 4 | track_id
OFFSET: 0x02DC (00732) | TYPE: r3e_int32       | SIZE: 4 | layout_id
OFFSET: 0x02E0 (00736) | TYPE: r3e_float32     | SIZE: 4 | layout_length
OFFSET: 0x02E4 (00740) | TYPE: r3e_float32     | SIZE: 4 | sector_start_factors.sector1
OFFSET: 0x02E8 (00744) | TYPE: r3e_float32     | SIZE: 4 | sector_start_factors.sector2
OFFSET: 0x02EC (00748) | TYPE: r3e_float32     | SIZE: 4 | sector_start_factors.sector3
OFFSET: 0x02F0 (00752) | TYPE: r3e_int32       | SIZE: 4 | race_session_laps[0]
OFFSET: 0x02F4 (00756) | TYPE: r3e_int32       | SIZE: 4 | race_session_laps[1]
OFFSET: 0x02F8 (00760) | TYPE: r3e_int32       | SIZE: 4 | race_session_laps[2]
OFFSET: 0x02FC (00764) | TYPE: r3e_int32       | SIZE: 4 | race_session_minutes[0]
OFFSET: 0x0300 (00768) | TYPE: r3e_int32       | SIZE: 4 | race_session_minutes[1]
OFFSET: 0x0304 (00772) | TYPE: r3e_int32       | SIZE: 4 | race_session_minutes[2]
OFFSET: 0x0308 (00776) | TYPE: r3e_int32       | SIZE: 4 | event_index
OFFSET: 0x030C (00780) | TYPE: r3e_int32       | SIZE: 4 | session_type
OFFSET: 0x0310 (00784) | TYPE: r3e_int32       | SIZE: 4 | session_iteration
OFFSET: 0x0314 (00788) | TYPE: r3e_session_length_format | SIZE: 4 | session_length_format
OFFSET: 0x0318 (00792) | TYPE: r3e_float32     | SIZE: 4 | session_pit_speed_limit
OFFSET: 0x031C (00796) | TYPE: r3e_int32       | SIZE: 4 | session_phase
OFFSET: 0x0320 (00800) | TYPE: r3e_int32       | SIZE: 4 | start_lights
OFFSET: 0x0324 (00804) | TYPE: r3e_int32       | SIZE: 4 | tire_wear_active
OFFSET: 0x0328 (00808) | TYPE: r3e_int32       | SIZE: 4 | fuel_use_active
OFFSET: 0x032C (00812) | TYPE: r3e_int32       | SIZE: 4 | number_of_laps
OFFSET: 0x0330 (00816) | TYPE: r3e_float32     | SIZE: 4 | session_time_duration
OFFSET: 0x0334 (00820) | TYPE: r3e_float32     | SIZE: 4 | session_time_remaining
OFFSET: 0x0338 (00824) | TYPE: r3e_int32       | SIZE: 4 | max_incident_points
OFFSET: 0x033C (00828) | TYPE: r3e_float32     | SIZE: 4 | event_unused1
OFFSET: 0x0340 (00832) | TYPE: r3e_float32     | SIZE: 4 | event_unused2
OFFSET: 0x0344 (00836) | TYPE: r3e_int32       | SIZE: 4 | pit_window_status
OFFSET: 0x0348 (00840) | TYPE: r3e_int32       | SIZE: 4 | pit_window_start
OFFSET: 0x034C (00844) | TYPE: r3e_int32       | SIZE: 4 | pit_window_end
OFFSET: 0x0350 (00848) | TYPE: r3e_int32       | SIZE: 4 | in_pitlane
OFFSET: 0x0354 (00852) | TYPE: r3e_pit_menu_selection | SIZE: 4 | pit_menu_selection
OFFSET: 0x0358 (00856) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[0]
OFFSET: 0x035C (00860) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[1]
OFFSET: 0x0360 (00864) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[2]
OFFSET: 0x0364 (00868) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[3]
OFFSET: 0x0368 (00872) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[4]
OFFSET: 0x036C (00876) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[5]
OFFSET: 0x0370 (00880) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[6]
OFFSET: 0x0374 (00884) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[7]
OFFSET: 0x0378 (00888) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[8]
OFFSET: 0x037C (00892) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[9]
OFFSET: 0x0380 (00896) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[10]
OFFSET: 0x0384 (00900) | TYPE: r3e_int32       | SIZE: 4 | pit_menu_state[11]
OFFSET: 0x0388 (00904) | TYPE: r3e_int32       | SIZE: 4 | pit_state
OFFSET: 0x038C (00908) | TYPE: r3e_float32     | SIZE: 4 | pit_total_duration
OFFSET: 0x0390 (00912) | TYPE: r3e_float32     | SIZE: 4 | pit_elapsed_time
OFFSET: 0x0394 (00916) | TYPE: r3e_int32       | SIZE: 4 | pit_action
OFFSET: 0x0398 (00920) | TYPE: r3e_int32       | SIZE: 4 | num_pitstops
OFFSET: 0x039C (00924) | TYPE: r3e_float32     | SIZE: 4 | pit_min_duration_total
OFFSET: 0x03A0 (00928) | TYPE: r3e_float32     | SIZE: 4 | pit_min_duration_left
OFFSET: 0x03A4 (00932) | TYPE: r3e_int32       | SIZE: 4 | flags.yellow
OFFSET: 0x03A8 (00936) | TYPE: r3e_int32       | SIZE: 4 | flags.yellowCausedIt
OFFSET: 0x03AC (00940) | TYPE: r3e_int32       | SIZE: 4 | flags.yellowOvertake
OFFSET: 0x03B0 (00944) | TYPE: r3e_int32       | SIZE: 4 | flags.yellowPositionsGained
OFFSET: 0x03B4 (00948) | TYPE: r3e_int32       | SIZE: 4 | flags.sector_yellow[0]
OFFSET: 0x03B8 (00952) | TYPE: r3e_int32       | SIZE: 4 | flags.sector_yellow[1]
OFFSET: 0x03BC (00956) | TYPE: r3e_int32       | SIZE: 4 | flags.sector_yellow[2]
OFFSET: 0x03C0 (00960) | TYPE: r3e_float32     | SIZE: 4 | flags.closest_yellow_distance_into_track
OFFSET: 0x03C4 (00964) | TYPE: r3e_int32       | SIZE: 4 | flags.blue
OFFSET: 0x03C8 (00968) | TYPE: r3e_int32       | SIZE: 4 | flags.black
OFFSET: 0x03CC (00972) | TYPE: r3e_int32       | SIZE: 4 | flags.green
OFFSET: 0x03D0 (00976) | TYPE: r3e_int32       | SIZE: 4 | flags.checkered
OFFSET: 0x03D4 (00980) | TYPE: r3e_int32       | SIZE: 4 | flags.white
OFFSET: 0x03D8 (00984) | TYPE: r3e_int32       | SIZE: 4 | flags.black_and_white
